original_address,lat,lon,formatted,housenumber,name,county_code,postcode,district,suburb,city,street,county,state,state_code,country,confidence_street_level,confidence_building_level,country_code,confidence_city_level,confidence,attribution,attribution_license,attribution_url
"đường Song Hành,Phường Trường Thọ,Quận Thủ Đức,TP. Hồ Chí Minh",18.527011,105.590212,"Đường Nguyễn Biểu, HT, Vietnam",,,,,,,,Đường Nguyễn Biểu,Duc Tho,Ha Tinh,HT,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tân Túc,Xã Bình Chánh,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Binh Chanh,Ho Chi Minh,HC,Vietnam,,,vn,0.2,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Man Thiện,Phường Tăng Nhơn Phú A,Quận 9,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Quan 8,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Nguyễn Hữu Trí,Thị trấn Tân Túc,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,,Binh Chanh,Ho Chi Minh,HC,Vietnam,,,vn,0.2,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 8,Phường Tăng Nhơn Phú B,Quận 9,TP. Hồ Chí Minh",10.8397,106.77093,"Quan Chin, HC, Vietnam",,,,,,,Quan Chin,,Quan 9,Ho Chi Minh,HC,Vietnam,,,vn,0.2222222222222222,0.1111111111111111,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Bình Thành,Phường Bình Tây,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,HC,Vietnam,,,vn,,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Lê Cơ,Phường An Lạc,TP. Hồ Chí Minh(Mới)",10.768255,106.55193909535308,"Trường THPT Lê Minh Xuân, Đường Láng Le Bàu Cò, Ho Chi Minh City, Vietnam",,Trường THPT Lê Minh Xuân,,,,,Ho Chi Minh City,Đường Láng Le Bàu Cò,Xã Bình Lợi,,,Vietnam,,,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trung Đông 12,Xã Đông Thạnh,TP. Hồ Chí Minh(Mới)",10.901263,106.608708,"12, Đường Trung Đông 10, HC, Vietnam",12,,,,,,,Đường Trung Đông 10,Hoc Mon,Ho Chi Minh,HC,Vietnam,,0,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tân Thới Nhì 9,Xã Xuân Thới Sơn,TP. Hồ Chí Minh(Mới)",10.888193,106.577997,"9, Đường Tân Thới Nhì 1, HC, Vietnam",9,,,,,,,Đường Tân Thới Nhì 1,Hoc Mon,Ho Chi Minh,HC,Vietnam,,0,vn,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tân Mỹ,TP. Hồ Chí Minh",10.7258459,106.73011008013167,"The Japanese School in HCMC, Đường Số 16, Ho Chi Minh City, 71800, Vietnam",,The Japanese School in HCMC,,71800,,,Ho Chi Minh City,Đường Số 16,Phường Tân Mỹ,,,Vietnam,,,vn,0.1111111111111111,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
