original_address,lat,lon,formatted,postcode,housenumber,county_code,street,district,city,suburb,name,county,state,state_code,confidence_building_level,confidence_city_level,country,confidence_street_level,country_code,confidence,attribution,attribution_license,attribution_url
"Đường số 11,Phường Tân Kiểng,Quận 7,TP. Hồ Chí Minh",10.735719,106.727203,"Quan 7, Vietnam",,,,,,,,Quan 7,Quan 7,Ho Chi Minh,HC,,,Vietnam,,vn,0.0984375,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Miếu Gò Xoài,Phường Bình Hưng Hoà A,Quận Bình Tân,TP. Hồ Chí Minh",10.9021534,107.3191025,"Bình Tân, Vietnam",76615,,,,,Bình Tân,,,Xã Xuân Phú,,,,0.2222222222222222,Vietnam,,vn,0.1111111111111111,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tập Đoàn 8,Xã Bình Chánh,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Binh Chanh,Ho Chi Minh,HC,,0.2,Vietnam,,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Trình Thị Gắt,Xã Tân An Hội,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Quan 8,Ho Chi Minh,HC,,,Vietnam,,vn,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Hoàng Sa,Phường Võ Thị Sáu,Quận 3,TP. Hồ Chí Minh",10.784274,106.678627,"Quan 3, Vietnam",,,,,,,,Quan 3,Quan 3,Ho Chi Minh,HC,,,Vietnam,,vn,0.0838757396449704,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 22, Phường Bình Hưng Hòa A,Phường Bình Trị Đông B,Quận Bình Tân,TP. Hồ Chí Minh",10.8310876,106.72912491016852,"Trụ sở Khu phố 5, 22, Đường số 8, Khu phố 33, Ho Chi Minh City, 72309, Vietnam",72309,22,,Đường số 8,,Ho Chi Minh City,Khu phố 33,Trụ sở Khu phố 5,Phường Hiệp Bình,,,,0.27,Vietnam,0.24300000000000002,vn,0.12150000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Song Hành Với Đường Nguyễn Văn Linh - Đường Nội Bộ Khu Dân Cư Ven Sông,Phường Bình Thuận,Quận 7,TP. Hồ Chí Minh",11.155253,107.505258,"Đường Nguyễn Văn Linh, BU, Vietnam",,,,Đường Nguyễn Văn Linh,,,,,Duc Linh,Binh Thuan,BU,,0.2,Vietnam,0.03076923076923077,vn,0.015384615384615385,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Huỳnh Văn Trí,Xã Bình Chánh,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,Ho Chi Minh City,,,Binh Chanh,Ho Chi Minh,HC,,0.2,Vietnam,,vn,0.1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Các Đường 2, Lô D Thuộc Khu Dân Cư Nam Hùng Vương ( Đường 16M),Phường Bình Hưng Hoà A,Quận Bình Tân,TP. Hồ Chí Minh",10.9021534,107.3191025,"Bình Tân, Vietnam",76615,,,,,Bình Tân,,,Xã Xuân Phú,,,,0.2222222222222222,Vietnam,,vn,0.1111111111111111,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Số 11, Phường Bình Hưng Hòa,Phường Bình Hưng Hòa,Quận Bình Tân,TP. Hồ Chí Minh",10.00767005,105.7870738,"Số 11, Cần Thơ, 94200, Vietnam",94200,,,Số 11,Phường Cái Răng,Cần Thơ,,Số 11,,,,,,Vietnam,,vn,0.14285714285714285,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
